Project,User,Total files changed,Total lines added,Total lines deleted
Air-Quality-Sensor,,,,
,temco-sophie,0,0,0
,temcocontrols,0,0,0
Android-front-end-for-Bacnet-Modbus-building-automation-system,,,,
,TemcoAlex,0,0,0
,ALEXLCC,0,0,0
,TemcoLijun,0,0,0
CM5,,,,
,TemcoChelsea,0,0,0
,temco-sophie,0,0,0
,temcocontrols,0,0,0
CO2_HUM_PRESSURE,,,,
,TemcoAlex,0,0,0
,temcocontrols,0,0,0
,rajutieto,0,0,0
CO2_Sensor,,,,
,rajutieto,0,0,0
,temco-sophie,0,0,0
,temcocontrols,0,0,0
GateServer,,,,
,TemcoLijun,0,0,0
,temcocontrols,0,0,0
,temco-sophie,0,0,0
Git-Reporting-Tool,,,,
,rajutieto,1,0,0
,temcocontrols,0,0,0
Light-Switch,,,,
,TemcoHeng,0,0,0
Magnetomometer,,,,
,kaiyinTemco,0,0,0
,rajutieto,0,0,0
,temco-sophie,0,0,0
,temcocontrols,0,0,0
RasberryPiBacnetController,,,,
,TemcoAlex,0,0,0
,temcocontrols,0,0,0
solarBoard,,,,
,TemcoLijun,0,0,0
T3000_Building_Automation_System,,,,
,TemcoAlex,>675,109791,15765
,Fance,0,0,0
,rajutieto,36,4848,2036
,temcocontrols,0,0,0
,JamesBremner,0,0,0
,jay-github,0,0,0
,ALEXLCC,0,0,0
,temco-sophie,0,0,0
,JTheCoder1,0,0,0
,HavenDV,0,0,0
,Jaygdesai,0,0,0
,bhoj001,0,0,0
,GuoxinyouTemco,0,0,0
,TemcoRaju,0,0,0
T3_4AO,,,,
,temco-sophie,0,0,0
,GuoxinyouTemco,0,0,0
,TemcoAlex,0,0,0
T3_Modules,,,,
Wireless-Modbus-system,,,,
,TemcoLijun,0,0,0
Zigbee-Tstat8-T3-controllers,,,,
,TemcoLijun,0,0,0
,temcocontrols,0,0,0
,temco-sophie,0,0,0
